Text,Phonetic,Meaning,Example,DifficultyLevel
a,/ə/,一个,a man/horse/unit,1
abandon,/əˈbændən/,v. 放弃,"abandon somebody, The baby had been abandoned by its mother.",3
ability,/əˈbɪləti/,n. 能力,People with the disease may lose their ability to communicate.,1
able,/ˈeɪbl/,adj. 有能力的,You must be able to speak French for this job.,1
abolish,/əˈbɒlɪʃ/,v. 取消,This tax should be abolished.,4
abortion,/əˈbɔːʃn/,n. 流产,to support/oppose abortion,4
about,/əˈbaʊt/,adv. 关于,It costs about $10.,1
above,/əˈbʌv/,adv. 多于,Put it on the shelf above.,1
abroad,/əˈbrɔːd/,adv. 国外,to go/travel/live/study abroad ,1
absence,/ˈæbsəns/,n. 缺席,"in somebody's absence, The decision was made in my absence (= while I was not there).",4
absent,/ˈæbsənt/,adj. 缺席的,He was absent from work for two weeks.,4
absolute,/ˈæbsəluːt/,adj. 绝对,I've joined a class for absolute beginners.,3
absolutely,/ˈæbsəluːtli/,adv. 绝对地,You're absolutely right.,2
absorb,/əbˈzɔːb/,v. 吸收,"absorb something, Plants absorb carbon dioxide from the air.",3
abstract,/ˈæbstrækt/,adj. 抽象的,abstract knowledge/principles,3
absurd,/əbˈsɜːd/,extremely silly; not logical and sensible,That uniform makes the guards look absurd.,4
abundance,/əˈbʌndəns/,n. 丰富,The brochure promised beautiful walks with an abundance of wildlife.,4
abuse,/əˈbjuːs/,n. 虐待,alcohol/drug abuse,4
academic,/ˌækəˈdemɪk/,adj. 学术的,high/low academic standards,2
academy,/əˈkædəmi/,n. 学院,She trained at the Royal Academy of Music.,4
accelerate,/əkˈseləreɪt/,v. 加速,Inflation continues to accelerate.,4
accent,/ˈæksent/,n. 口音,a northern/Dublin/Scottish accent,3
accept,/əkˈsept/,v. 接受,He asked me to marry him and I accepted.,1
acceptable,/əkˈseptəbl/,adj. 可以接受,Children must learn socially acceptable behaviour.,3
acceptance,/əkˈseptəns/,n. 验收,Please confirm your acceptance of this offer in writing.,4
access,/ˈækses/,n. 使用权,High-speed internet access has become a necessity.,2
accessible,/əkˈsesəbl/,adj. 无障碍,The remote desert area is accessible only by helicopter.,4
accident,/ˈæksɪdənt/,n. 事故,a car/road/traffic accident,1
accidentally,/ˌæksɪˈdentəli/,adv. 偶然,"As I turned around, I accidentally hit him in the face.",3
accommodate,/əˈkɒmədeɪt/,v. 容纳,The hotel can accommodate up to 500 guests.,3
accommodation,/əˌkɒməˈdeɪʃn/,n. 住宿,rented/temporary accommodation,2
accompany,/əˈkʌmpəni/,v. 陪伴,"accompany somebody/something + adv./prep., His wife accompanied him on the trip.",3
accomplish,/əˈkʌmplɪʃ/,v. 完成,The first part of the plan has been safely accomplished.,3
accomplishment,/əˈkʌmplɪʃmənt/,n. 成就,It was one of the President's greatest accomplishments.,4
accordance,/əˈkɔːdns/,n. 符合,in accordance with legal requirements,4
according to,/əˈkɔːdɪŋ tə/,prep. 根据,"According to Mick, it's a great movie.",1
accordingly,/əˈkɔːdɪŋli/,adv. 因此,We have to discover his plans and act accordingly.,4
account,/əˈkaʊnt/,n. 帐户,I don't have a bank account.,2
accountability,/əˌkaʊntəˈbɪləti/,n. 问责制,proposals for greater police accountability,4
accountable,/əˈkaʊntəbl/,responsible for your decisions or actions and expected to explain them when you are asked,The state spends taxpayers’ money and should be held accountable.,4
accountant,/əˈkaʊntənt/,n. 会计,We talked to the company’s chief accountant.,3
accumulate,/əˈkjuːmjəleɪt/,v. 积累,I seem to have accumulated a lot of books.,4
accumulation,/əˌkjuːmjəˈleɪʃn/,n. 积累,the accumulation of wealth,4
accuracy,/ˈækjərəsi/,the state of being exact or correct; the ability to do something with skill and without making mistakes,They questioned the accuracy of the information in the file.,3
accurate,/ˈækjərət/,correct and true in every detail,an accurate description/picture of something,3
accurately,/ˈækjərətli/,adv. 准确,The article accurately reflects public opinion.,3
accusation,/ˌækjuˈzeɪʃn/,n. 指控,I don't want to make an accusation until I have some proof.,4
accuse,/əˈkjuːz/,v. 控,"accuse somebody of something, to accuse somebody of murder/a crime",3
accused,/ði əˈkjuːzd/,n. 被告,The accused was found innocent.,4
achieve,/əˈtʃiːv/,v. 达到,He had finally achieved success.,1
achievement,/əˈtʃiːvmənt/,n. 成就,the greatest scientific achievement of the decade,2
acid,/ˈæsɪd/,adj. 酸,"Rye is tolerant of poor, acid soils.",4
acknowledge,/əkˈnɒlɪdʒ/,v. 承认,"acknowledge something, She refuses to acknowledge the need for reform.",3
acquire,/əˈkwaɪə(r)/,v. 获得,She has acquired a good knowledge of English.,3
acquisition,/ˌækwɪˈzɪʃn/,n. 获得,theories of child language acquisition,4
acre,/ˈeɪkə(r)/,n. 英亩,3 000 acres of parkland,4
